Store,Item,Price,Price per lb
1,1,0.00,0.99
1,2,0.00,2.99
1,3,0.00,3.99
1,4,0.00,1.99
1,5,0.00,1.99
1,6,0.00,1.99
1,7,0.00,1.99
1,8,0.00,2.99
1,9,0.00,1.99
1,10,0.00,1.99
1,11,0.00,1.99
1,12,1.99,0.00
1,13,2.99,0.00
1,14,1.99,0.00
1,15,1.99,0.00
1,16,1.99,0.00
1,17,1.49,0.00
1,18,2.49,0.00
1,19,1.99,0.00
1,20,0.99,0.00
1,21,1.29,0.00
1,22,2.49,0.00
1,23,3.99,0.00
1,24,1.49,0.00
1,25,1.99,0.00
1,26,1.99,0.00
1,27,1.99,0.00
1,28,3.99,0.00
1,29,1.99,0.00
1,30,0.00,1.49
1,31,0.00,1.49
1,32,1.49,0.00
1,33,1.49,0.00
1,34,1.99,0.00
1,35,3.99,0.00
1,36,2.99,0.00
1,37,0.50,0.00
1,38,0.50,0.00
1,39,0.99,0.00
1,40,3.99,0.00
1,41,0.99,0.00
1,42,0.99,0.00
1,43,1.50,0.00
1,44,0.99,0.00
1,45,0.00,0.99
1,46,1.50,0.00
1,47,0.00,2.99
1,48,0.25,0.00
1,49,0.00,2.99
1,50,0.00,1.49
1,51,0.00,1.49
1,52,0.00,1.40
1,53,1.49,0.00
1,54,0.00,0.99
1,55,0.00,0.99
1,56,0.50,0.00
1,57,0.99,0.00
1,58,0.99,0.00
1,59,0.00,0.99
1,60,0.00,0.89
1,61,3.33,0.00
1,62,3.33,0.00
1,63,5.00,0.00
1,64,3.33,0.00
1,65,0.00,1.99
1,66,0.00,4.99
1,67,1.25,0.00
1,68,0.50,0.00
1,69,0.00,0.99
1,70,0.89,0.00
1,71,0.50,0.00
1,72,5.00,0.00
1,73,3.49,0.00
1,74,0.00,0.59
1,75,0.00,0.99
1,76,0.00,0.99
1,77,0.00,0.99
1,78,3.99,0.00
1,79,4.99,0.00
1,80,3.49,0.00
1,81,2.99,0.00
1,82,2.80,0.00
1,83,2.99,0.00
1,84,3.49,0.00
1,85,3.99,0.00
1,86,1.79,0.00
1,87,4.49,0.00
1,88,3.49,0.00
1,89,10.99,0.00
1,90,4.49,0.00
1,91,5.59,0.00
1,92,2.99,0.00
1,93,3.99,0.00
1,94,5.49,0.00
1,95,0.00,4.49
1,96,0.00,3.99
1,97,2.99,0.00
1,98,3.49,0.00
1,99,1.00,0.00
1,100,3.49,0.00
1,101,1.79,0.00
1,102,2.29,0.00
1,103,2.29,0.00
1,104,3.99,0.00
1,105,3.99,0.00
1,106,2.59,0.00
1,107,1.99,0.00
1,108,1.59,0.00
1,109,1.59,0.00